--Word--            --Lemma (v)--       --Lemma (n)--       
-er                 -er                 -er                 
a                   a                   a                   
about               about               about               
above               above               above               
across              across              across              
algorithm           algorithm           algorithm           
all                 all                 all                 
along               along               along               
also                also                also                
an                  an                  an                  
and                 and                 and                 
approach            approach            approach            
approaches          approach            approach            
are                 be                  are                 
as                  as                  a                   
ask                 ask                 ask                 
automatic           automatic           automatic           
automatically       automatically       automatically       
back                back                back                
based               base                based               
believe             believe             believe             
bpe                 bpe                 bpe                 
breaks              break               break               
by                  by                  by                  
byte-pair           byte-pair           byte-pair           
called              call                called              
came                come                came                
cantonese           cantonese           cantonese           
care                care                care                
carry               carry               carry               
certain             certain             certain             
change              change              change              
chapter             chapter             chapter             
characters          character           character           
chatbots            chatbots            chatbots            
compare             compare             compare             
context             context             context             
conversation        conversation        conversation        
could               could               could               
course              course              course              
crucial             crucial             crucial             
crude               crude               crude               
date                date                date                
deletions           deletions           deletion            
depend              depend              depend              
dialogue            dialogue            dialogue            
distance            distance            distance            
don’t               don’t               don’t               
early               early               early               
edit                edit                edit                
edits               edit                edits               
eliza               eliza               eliza               
eliza’s             eliza’s             eliza’s             
else                else                else                
encoding            encode              encoding            
error               error               error               
example             example             example             
examples            examples            example             
expression          expression          expression          
expressions         expressions         expression          
family              family              family              
father              father              father              
finally             finally             finally             
first               first               first               
for                 for                 for                 
formally            formally            formally            
from                from                from                
get                 get                 get                 
got                 get                 got                 
guide               guide               guide               
have                have                have                
help                help                help                
how                 how                 how                 
human               human               human               
i                   i                   i                   
if                  if                  if                  
imitating           imitate             imitating           
impacts             impact              impact              
important           important           important           
in                  in                  in                  
includes            include             includes            
induce              induce              induce              
input               input               input               
insertions          insertions          insertion           
instantiated        instantiate         instantiated        
interacted          interact            interacted          
into                into                into                
introduce           introduce           introduce           
is                  be                  is                  
it                  it                  it                  
language            language            language            
languages           languages           language            
learn               learn               learn               
led                 lead                led                 
letter              letter              letter              
like                like                like                
limited             limit               limited             
long                long                long                
longer              longer              longer              
manipulating        manipulate          manipulating        
many                many                many                
matching            match               matching            
me                  me                  me                  
mean                mean                mean                
meaningful          meaningful          meaningful          
measures            measure             measure             
metric              metric              metric              
mimicry             mimicry             mimicry             
modern              modern              modern              
more                more                more                
morpheme            morpheme            morpheme            
mother              mother              mother              
much                much                much                
my                  my                  my                  
natural             natural             natural             
nature              nature              nature              
need                need                need                
new                 new                 new                 
nlp                 nlp                 nlp                 
number              number              number              
of                  of                  of                  
on                  on                  on                  
once                once                once                
one                 one                 one                 
or                  or                  or                  
other               other               other               
others              others              others              
out                 out                 out                 
outputs             output              output              
parts               part                part                
pattern             pattern             pattern             
pattern-based       pattern-based       pattern-based       
people              people              people              
perhaps             perhaps             perhaps             
phrases             phrase              phrase              
pioneered           pioneer             pioneered           
plays               play                play                
possible            possible            possible            
processing          process             processing          
program             program             program             
psychotherapist     psychotherapist     psychotherapist     
rate                rate                rate                
really              really              really              
recognition         recognition         recognition         
recognize           recognize           recognize           
regular             regular             regular             
relevant            relevant            relevant            
remarkably          remarkably          remarkably          
represent           represent           represent           
representing        represent           representing        
researchers         researchers         researcher          
responses           responses           response            
result              result              result              
rogerian            rogerian            rogerian            
role                role                role                
running             run                 running             
seems               seem                seems               
separating          separate            separating          
sequences           sequence            sequence            
short               short               short               
show                show                show                
similar             similar             similar             
simple              simple              simple              
so                  so                  so                  
some                some                some                
specifying          specify             specifying          
speech              speech              speech              
standard            standard            standard            
standards           standards           standard            
statistics          statistics          statistic           
step                step                step                
still               still               still               
string              string              string              
strings             string              string              
subpart             subpart             subpart             
subparts            subparts            subpart             
substitutions       substitutions       substitution        
subword             subword             subword             
successful          successful          successful          
suitable            suitable            suitable            
surprisingly        surprisingly        surprisingly        
system              system              system              
systems             systems             system              
takes               take                take                
task                task                task                
tell                tell                tell                
terms               term                term                
text                text                text                
that                that                that                
the                 the                 the                 
their               their               their               
them                them                them                
think               think               think               
this                this                this                
to                  to                  to                  
today               today               today               
tokenization        tokenization        tokenization        
tokenize            tokenize            tokenize            
tokenizing          tokenizing          tokenizing          
tokens              tokens              token               
tool                tool                tool                
turkish             turkish             turkish             
two                 two                 two                 
um                  um                  um                  
understand          understand          understand          
understood          understand          understood          
unicode             unicode             unicode             
up                  up                  up                  
us                  us                  u                   
use                 use                 use                 
user                user                user                
users               users               user                
uses                use                 us                  
utf-8               utf-8               utf-8               
very                very                very                
vietnamese          vietnamese          vietnamese          
vocabulary          vocabulary          vocabulary          
was                 be                  wa                  
way                 way                 way                 
ways                ways                way                 
we                  we                  we                  
weizenbaum          weizenbaum          weizenbaum          
we’ll               we’ll               we’ll               
we’ve               we’ve               we’ve               
what                what                what                
whenever            whenever            whenever            
while               while               while               
who                 who                 who                 
with                with                with                
word                word                word                
words               word                word                
work                work                work                
would               would               would               
x                   x                   x                   
yet                 yet                 yet                 
york                york                york                
you                 you                 you                 
your                your                your                

Total rows: 238
Unique lemmas (pos=v): 228
Unique lemmas (pos=n): 226
