--Original--        --Lemma--           
-er                 -er                 
a                   a                   
about               about               
above               above               
across              across              
algorithm           algorithm           
all                 all                 
along               along               
also                also                
an                  an                  
and                 and                 
approach            approach            
approaches          approach            
are                 be                  
as                  as                  
ask                 ask                 
automatic           automatic           
automatically       automatically       
back                back                
based               base                
believe             believe             
bpe                 bpe                 
breaks              break               
by                  by                  
byte-pair           byte                
called              call                
came                come                
cantonese           cantonese           
care                care                
carry               carry               
certain             certain             
change              change              
chapter             chapter             
characters          character           
chatbots            chatbot             
compare             compare             
context             context             
conversation        conversation        
could               could               
course              course              
crucial             crucial             
crude               crude               
date                date                
deletions           deletion            
depend              depend              
dialogue            dialogue            
distance            distance            
don’t               do                  
early               early               
edit                edit                
edits               edit                
eliza               eliza               
eliza’s             eliza               
else                else                
encoding            encode              
error               error               
example             example             
examples            example             
expression          expression          
expressions         expression          
family              family              
father              father              
finally             finally             
first               first               
for                 for                 
formally            formally            
from                from                
get                 get                 
got                 get                 
guide               guide               
have                have                
help                help                
how                 how                 
human               human               
i                   I                   
if                  if                  
imitating           imitate             
impacts             impact              
important           important           
in                  in                  
includes            include             
induce              induce              
input               input               
insertions          insertion           
instantiated        instantiate         
interacted          interact            
into                into                
introduce           introduce           
is                  be                  
it                  it                  
language            language            
languages           language            
learn               learn               
led                 lead                
letter              letter              
like                like                
limited             limit               
long                long                
longer              long                
manipulating        manipulate          
many                many                
matching            match               
me                  I                   
mean                mean                
meaningful          meaningful          
measures            measure             
metric              metric              
mimicry             mimicry             
modern              modern              
more                more                
morpheme            morpheme            
mother              mother              
much                much                
my                  my                  
natural             natural             
nature              nature              
need                need                
new                 new                 
nlp                 nlp                 
number              number              
of                  of                  
on                  on                  
once                once                
one                 one                 
or                  or                  
other               other               
others              other               
out                 out                 
outputs             output              
parts               part                
pattern             pattern             
pattern-based       pattern             
people              people              
perhaps             perhaps             
phrases             phrase              
pioneered           pioneer             
plays               play                
possible            possible            
processing          process             
program             program             
psychotherapist     psychotherapist     
rate                rate                
really              really              
recognition         recognition         
recognize           recognize           
regular             regular             
relevant            relevant            
remarkably          remarkably          
represent           represent           
representing        represent           
researchers         researcher          
responses           response            
result              result              
rogerian            rogerian            
role                role                
running             run                 
seems               seem                
separating          separate            
sequences           sequence            
short               short               
show                show                
similar             similar             
simple              simple              
so                  so                  
some                some                
specifying          specify             
speech              speech              
standard            standard            
standards           standard            
statistics          statistic           
step                step                
still               still               
string              string              
strings             string              
subpart             subpart             
subparts            subpart             
substitutions       substitution        
subword             subword             
successful          successful          
suitable            suitable            
surprisingly        surprisingly        
system              system              
systems             system              
takes               take                
task                task                
tell                tell                
terms               term                
text                text                
that                that                
the                 the                 
their               their               
them                they                
think               think               
this                this                
to                  to                  
today               today               
tokenization        tokenization        
tokenize            tokenize            
tokenizing          tokenize            
tokens              tokens              
tool                tool                
turkish             turkish             
two                 two                 
um                  um                  
understand          understand          
understood          understand          
unicode             unicode             
up                  up                  
us                  we                  
use                 use                 
user                user                
users               user                
uses                use                 
utf-8               utf-8               
very                very                
vietnamese          vietnamese          
vocabulary          vocabulary          
was                 be                  
way                 way                 
ways                way                 
we                  we                  
weizenbaum          weizenbaum          
we’ll               we                  
we’ve               we                  
what                what                
whenever            whenever            
while               while               
who                 who                 
with                with                
word                word                
words               word                
work                work                
would               would               
x                   x                   
yet                 yet                 
york                york                
you                 you                 
your                your                

Total rows: 238
Unique lemmas: 211
